%time,field.t,field.cs1.x,field.cs1.y,field.cs1.theta,field.cs1.speed,field.cs1.acceleration,field.cs1.id,field.cs2.x,field.cs2.y,field.cs2.theta,field.cs2.speed,field.cs2.acceleration,field.cs2.id
1523727920837701082,6.30031895638,3.52944803238,10.2656202316,1.56038331985,13.8888893127,7.0,1,-3.13576221466,-11.7520055771,4.63324308395,13.8888893127,7.0,2
1523727920937386989,6.40026807785,3.54390883446,11.6543064117,1.60112690926,13.8888893127,7.0,1,-3.24556255341,-13.1364202499,4.79514026642,13.8888893127,7.0,2
1523727921037693023,6.50025892258,3.50176334381,13.0434188843,1.58804857731,13.8888893127,7.0,1,-3.13068962097,-14.5214166641,4.63312768936,13.8888893127,7.0,2
1523727921139938116,6.60032105446,3.47772550583,14.4365997314,1.61518490314,13.8888893127,7.0,1,-3.24101614952,-15.9104290009,4.79556417465,13.8888893127,7.0,2
1523727921238497018,6.70064496994,3.41619968414,15.8217601776,1.58815491199,13.8888893127,7.0,1,-3.12582421303,-17.2921619415,4.63392734528,13.8888893127,7.0,2
1523727921338154077,6.80047488213,3.39211988449,17.2088165283,1.61198329926,13.8888893127,7.0,1,-3.2345597744,-18.6751594543,4.79565048218,13.8888893127,7.0,2
1523727921439121007,6.90035796165,3.3348929882,18.5974731445,1.57819199562,13.8888893127,7.0,1,-3.11897373199,-20.0601787567,4.63362789154,13.8888893127,7.0,2
1523727921538352966,7.000426054,3.32461810112,19.9867649078,1.60430860519,13.8888893127,7.0,1,-3.22828602791,-21.4452037811,4.79559183121,13.8888893127,7.0,2
1523727921638606071,7.10045790672,3.27809000015,21.3746376038,1.56681418419,13.8888893127,7.0,1,-3.11287975311,-22.8290519714,4.63370704651,13.8888893127,7.0,2
1523727921737767934,7.20044088364,3.28361940384,22.7632274628,1.59803783894,13.8888893127,7.0,1,-3.2220249176,-24.2133560181,4.79558563232,13.8888893127,7.0,2
1523727921838087081,7.30042004585,3.24582576752,24.1502380371,1.55749082565,13.8888893127,7.0,1,-3.10672044754,-25.5960826874,4.63383197784,13.8888893127,7.0,2
1523727921938601016,7.40032196045,3.26434469223,25.5419902802,1.59488141537,13.8888893127,7.0,1,-3.21594953537,-26.9836654663,4.79609251022,13.8888893127,7.0,2
1523727922038670063,7.50053691864,3.23094916344,26.9282970428,1.55063688755,13.8888893127,7.0,1,-3.10001277924,-28.3655185699,4.63443422318,13.8888893127,7.0,2
1523727922138170003,7.60037994385,3.25896883011,28.3180141449,1.59485328197,13.8888893127,7.0,1,-3.20826029778,-29.7512969971,4.7964758873,13.8888893127,7.0,2
1523727922237878084,7.70045995712,3.22559189796,29.7051563263,1.54556524754,13.8888893127,7.0,1,-3.09172320366,-31.1339378357,4.63472080231,13.8888893127,7.0,2
1523727922337459087,7.80036306381,3.26060628891,31.0926017761,1.59705162048,13.8888893127,7.0,1,-3.19940972328,-32.5176429749,4.79651641846,13.8888893127,7.0,2
